model,auc_mean,auc_ci_lower,auc_ci_upper,auc_std,acc_mean,acc_ci_lower,acc_ci_upper,f1_mean,f1_ci_lower,f1_ci_upper
XGBoost (Classical),0.6065,0.5204,0.6982,0.0448,0.5516,0.472,0.6335,0.5105,0.411,0.6134
RBF-SVM (Classical),0.5749,0.4901,0.6583,0.0454,0.5539,0.4783,0.6273,0.5328,0.4366,0.6191
MLP (Classical),0.6091,0.5235,0.7041,0.0452,0.5968,0.5217,0.677,0.552,0.4477,0.6381
PCA + SVM (Classical),0.6625,0.5744,0.75,0.0446,0.6779,0.6025,0.7516,0.6439,0.5512,0.7248
BoVW + SVM (Classical),0.7163,0.6373,0.7984,0.0396,0.6759,0.6025,0.7453,0.6469,0.5594,0.7324
ResNet18-cap MIL,0.9757,0.9484,0.9957,0.0125,0.9122,0.8634,0.9565,0.9114,0.8609,0.9548
MeanPool MLP (GigaPath),0.9805,0.9609,0.9957,0.0095,0.9366,0.8944,0.9689,0.9317,0.8857,0.9686
Gated ABMIL (GigaPath),0.9844,0.9645,0.9971,0.0081,0.9433,0.9068,0.9814,0.9417,0.9006,0.9793
ABMIL (GigaPath),0.9877,0.9721,0.9989,0.0072,0.9371,0.9006,0.9752,0.9348,0.8944,0.9718
