model,val_auc,test_auc,test_acc,precision,recall,f1
ABMIL (GigaPath),0.9888,0.9878,0.9379,0.9125,0.9605,0.9359
Gated ABMIL (GigaPath),0.9867,0.9848,0.9441,0.9136,0.9737,0.9427
MeanPool MLP (GigaPath),0.9878,0.9807,0.9379,0.9459,0.9211,0.9333
ResNet18-cap MIL (GigaPath),0.9867,0.9759,0.913,0.869,0.9605,0.9125
BoVW + SVM (Classical),0.7659,0.7167,0.677,0.6667,0.6316,0.6486
MLP (Classical),0.6989,0.6079,0.5963,0.5797,0.5263,0.5517
PCA + SVM (Classical),0.6771,0.6621,0.677,0.6714,0.6184,0.6438
RBF-SVM (Classical),0.6644,0.5737,0.5528,0.5256,0.5395,0.5325
XGBoost (Classical),0.6973,0.6057,0.5528,0.5278,0.5,0.5135
