model,val_auc,test_auc,test_acc,precision,recall,f1
ABMIL (GigaPath),0.9985,0.9871,0.886,0.9565,0.8,0.8713
Gated ABMIL (GigaPath),0.9989,0.9904,0.9386,0.9,0.9818,0.9391
MeanPool MLP (GigaPath),1.0,0.9769,0.9211,0.96,0.8727,0.9143
ResNet18-cap MIL (GigaPath),0.9996,0.9815,0.9298,0.9273,0.9273,0.9273
BoVW + SVM (Classical),0.7395,0.7488,0.6667,0.6604,0.6364,0.6481
MLP (Classical),0.652,0.5652,0.6053,0.7083,0.3091,0.4304
PCA + SVM (Classical),0.6096,0.6251,0.614,0.641,0.4545,0.5319
RBF-SVM (Classical),0.5357,0.6294,0.5702,0.5714,0.4364,0.4948
XGBoost (Classical),0.5998,0.5815,0.5614,0.549,0.5091,0.5283
